"surveyyear","URM","pfacres","kccrit","kclead","kcrelate","kcwrite","kcjudge","kcsynth"
2014,"International","Yes","Very much","Quite a bit","Quite a bit","Very much","Very much","Quite a bit"
2014,"URM","No","Very much","Quite a bit","Some","Quite a bit","Very much","Very much"
2014,"Asian","Yes","Very much","Very much","Very much","Quite a bit","Quite a bit","Very much"
2014,"Asian","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"Asian","Yes","Very much","Very little or none","Quite a bit","Very much","Very much","Very much"
2014,"URM","Yes","Some","Some","Some","Some","Quite a bit","Some"
2014,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2014,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some","Some"
2014,"White","No","Very much","Very much",NA,"Very much","Very much","Very much"
2015,"White","No","Some","Very little or none","Some","Some","Some","Some"
2015,"International","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"International","Yes","Very much","Very much","Very much","Quite a bit","Very much","Very much"
2015,"URM","No","Some","Quite a bit","Quite a bit","Some","Some","Some"
2015,"Asian","No","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Very much"
2015,"White","No","Very much","Very much","Some","Quite a bit","Very much","Quite a bit"
2015,"Asian","No","Very much","Very much","Quite a bit","Quite a bit","Quite a bit","Very much"
2015,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit"
2015,"White","Yes","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","No","Quite a bit","Some","Quite a bit","Very much","Very much","Quite a bit"
2015,"URM","Yes","Very much","Very much","Very much","Some","Very much","Very much"
2015,"Asian","No","Quite a bit","Some","Some","Quite a bit","Very much","Quite a bit"
2015,"White","Yes","Very much","Very much","Quite a bit","Very much","Quite a bit","Very much"
2015,"White","Yes","Very much","Some","Quite a bit","Some","Quite a bit","Very much"
2015,"White","Yes","Very little or none","Very little or none","Very little or none","Very little or none","Very little or none","Very little or none"
2015,"White","Yes","Very much","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","No","Some","Very little or none","Some","Some","Some","Some"
2015,"International","Yes","Very much","Very much","Quite a bit","Quite a bit","Very much","Very much"
2015,"URM","Yes","Very much","Very much","Very much","Some","Quite a bit","Quite a bit"
2015,"White","No","Some","Very little or none","Quite a bit","Some","Quite a bit","Some"
2015,"White","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","No","Quite a bit","Quite a bit","Very little or none","Quite a bit","Quite a bit","Some"
2015,"Asian","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much"
2015,"International","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"International","Yes","Quite a bit","Quite a bit","Some","Quite a bit","Some","Some"
2015,"URM","Yes","Very much","Very much","Quite a bit","Very much","Very much","Very much"
2015,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","Yes",NA,"Quite a bit","Very much","Very much","Very much","Very much"
2015,"International","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much","Some"
2015,"Asian","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much","Very little or none"
2015,"White","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"International","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Very much","Some","Very much","Some","Quite a bit","Very much"
2015,"URM","Yes","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Some"
2015,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","Yes","Very much","Quite a bit","Quite a bit","Some","Some","Some"
2015,"White","Yes","Some","Very little or none","Quite a bit","Some","Quite a bit","Some"
2015,"URM","Yes","Very much","Some","Very much","Very much",NA,"Very much"
2015,"Asian","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Some","Some","Quite a bit","Some","Quite a bit","Quite a bit"
2015,"URM","No","Some","Very little or none","Quite a bit","Some","Some","Some"
2015,"URM","No","Very much","Very much","Quite a bit","Very much","Quite a bit","Quite a bit"
2015,"White","Yes","Very much","Quite a bit","Some","Some","Very much","Very much"
2015,"Asian","No","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2015,"URM","No","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Very much","Quite a bit","Very much","Some","Quite a bit","Very much"
2015,"International","Yes","Very much","Some","Very much","Very much","Quite a bit","Very much"
2015,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit"
2015,"URM","Yes","Very much","Quite a bit","Some","Very much","Quite a bit","Quite a bit"
2015,"URM","Yes","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit"
2015,"URM","Yes","Quite a bit","Quite a bit","Some","Some","Quite a bit","Quite a bit"
2015,"URM","No","Quite a bit","Very much","Some","Some","Very little or none","Some"
2015,"Asian","Yes","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit"
2015,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"International","Yes","Very much","Quite a bit","Very much","Very much","Quite a bit","Quite a bit"
2015,"International","No","Quite a bit","Very much","Some","Quite a bit","Quite a bit","Some"
2015,"White","No","Quite a bit","Some","Very much","Quite a bit","Quite a bit","Some"
2015,"Asian","Yes","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much"
2015,"White","No","Very much","Quite a bit","Very much","Quite a bit","Very much","Very much"
2015,"URM","Yes","Very much","Very much","Quite a bit","Quite a bit","Very much","Very much"
2015,"Asian","Yes","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit","Very much"
2015,"Asian","No","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Very much"
2015,"Asian","Yes","Very much","Very much","Very much","Quite a bit","Very much","Very much"
2015,"URM","Yes","Quite a bit","Quite a bit","Very much","Some","Quite a bit","Quite a bit"
2015,"International","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"International","Yes",NA,"Very much","Very much","Very much","Very much","Very much"
2015,"Asian","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","No","Very much","Very much","Quite a bit","Very much","Very much","Very much"
2015,"White","No","Quite a bit","Very little or none","Quite a bit","Very much","Very much","Very much"
2015,"International","No","Very much","Quite a bit","Some","Quite a bit","Quite a bit","Some"
2015,"International","Yes","Very much","Very much","Very little or none","Very much","Quite a bit","Very much"
2015,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","Yes","Quite a bit","Very much","Quite a bit","Quite a bit","Some","Quite a bit"
2015,"Asian","Yes","Some","Some","Some","Quite a bit","Very much","Very much"
2015,"White","Yes","Very much","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Very much","Quite a bit","Quite a bit","Very much","Very much","Very much"
2015,"Asian","Yes","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"International","Yes","Very much","Quite a bit","Quite a bit","Very much","Very much","Very much"
2015,"URM","Yes","Very much","Some","Some","Quite a bit","Very much","Quite a bit"
2015,"URM","No","Quite a bit","Very much","Some","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Quite a bit","Very much","Very much","Quite a bit","Very much","Very much"
2015,"International","No","Very much","Very much","Some","Very much","Very much","Very much"
2015,"URM","No","Very much","Very much","Quite a bit","Very much","Quite a bit","Very much"
2015,"International","Yes","Very much","Quite a bit","Quite a bit","Very much","Very much","Very much"
2015,"White","Yes","Very much","Very much","Quite a bit","Quite a bit","Very much","Very much"
2015,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"International","No","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2015,"International","No","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit"
2015,"White","No","Very much","Some","Quite a bit","Very much","Some","Quite a bit"
2015,"URM","No","Quite a bit","Some","Some","Quite a bit","Some","Quite a bit"
2015,"International","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","No","Quite a bit","Some","Quite a bit","Quite a bit","Some","Quite a bit"
2015,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2015,"URM","Yes","Very much","Quite a bit","Very much","Very much","Quite a bit","Quite a bit"
2015,"White","No","Very much","Quite a bit","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Quite a bit","Very much","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Very much","Quite a bit","Quite a bit","Quite a bit","Very much","Quite a bit"
2015,"URM","Yes","Very much","Quite a bit","Very much","Very much","Quite a bit","Quite a bit"
2015,"White","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","No","Quite a bit","Some","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Very much","Very much","Very much","Quite a bit","Very much","Quite a bit"
2015,"Asian","Yes","Quite a bit","Very little or none","Very much","Some","Some","Quite a bit"
2015,"URM","Yes","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Quite a bit","Some","Very much","Some","Quite a bit","Quite a bit"
2015,"Asian","Yes","Some","Some","Some","Quite a bit","Quite a bit","Some"
2015,"International","Yes","Very much",NA,"Very much","Very much","Very much","Very much"
2015,"Asian","Yes","Very much","Very much","Very much","Some","Some","Very much"
2015,"URM","Yes","Very much","Quite a bit","Quite a bit","Quite a bit","Very much","Very much"
2015,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit"
2015,"URM","Yes","Very much","Some","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Quite a bit","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Some","Some","Quite a bit","Some","Some","Quite a bit"
2015,"White","No","Very much","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Quite a bit","Very much","Some","Very little or none","Some","Some"
2015,"International","Yes","Very much","Very much","Very much","Very much","Quite a bit","Quite a bit"
2015,"International","No","Very much","Quite a bit","Very much","Very much","Quite a bit","Very much"
2015,"White","Yes","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2015,"Asian","No","Some","Some","Some","Some","Some","Some"
2015,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","No","Very much","Quite a bit","Very much","Very much","Very much","Quite a bit"
2015,"Asian","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","No","Very much","Some","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Quite a bit","Quite a bit","Very much","Quite a bit","Some","Quite a bit"
2015,"White","No","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Quite a bit","Quite a bit","Very much","Very much","Quite a bit","Quite a bit"
2015,"White","Yes","Very much","Quite a bit","Very much","Quite a bit","Some","Quite a bit"
2015,"White","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"Asian","No","Some","Some","Very little or none","Some","Very little or none","Some"
2015,"White","No","Very much","Very much","Very little or none","Very much","Quite a bit","Quite a bit"
2015,"International","Yes","Very much","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","Yes","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2015,"URM","Yes","Very much","Quite a bit","Very much","Very much","Quite a bit","Quite a bit"
2015,"URM","Yes","Very much","Very much","Very much","Quite a bit","Quite a bit","Very much"
2015,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"International","Yes","Very much","Some","Very much","Quite a bit","Quite a bit","Very much"
2015,"URM","Yes","Some","Quite a bit","Very little or none","Very little or none","Some","Quite a bit"
2015,"International","Yes","Some","Very much","Very little or none","Very much","Very little or none","Very little or none"
2015,"White","Yes","Very little or none","Very little or none","Quite a bit","Very little or none","Very little or none","Some"
2015,"White","No","Quite a bit","Very much","Quite a bit","Very much","Quite a bit","Quite a bit"
2015,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Some","Some","Quite a bit","Some","Quite a bit","Quite a bit"
2015,"International","No","Quite a bit","Quite a bit","Some","Quite a bit","Some","Some"
2015,"International","No","Some","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","No","Very much","Very much","Quite a bit","Very much","Very much","Quite a bit"
2015,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Very much","Very much","Quite a bit","Quite a bit","Very much","Quite a bit"
2015,"URM","No","Very much","Quite a bit","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Very much"
2015,"URM","Yes","Quite a bit","Very much","Quite a bit","Quite a bit","Very much","Very much"
2015,"Asian","No","Very much","Quite a bit","Very little or none","Quite a bit","Very little or none","Some"
2015,"White","Yes","Quite a bit","Some","Some","Some","Quite a bit","Quite a bit"
2015,"URM","Yes","Very much","Quite a bit","Very much","Very much","Very much","Very much"
2015,"White","Yes","Quite a bit","Quite a bit","Very much","Some","Very much","Quite a bit"
2015,"International","Yes","Very much","Some","Some","Some","Quite a bit","Quite a bit"
2015,"Asian","No","Some","Quite a bit","Some","Some","Quite a bit","Some"
2015,"Asian","No","Some","Very little or none","Quite a bit","Some","Some","Quite a bit"
2015,"URM","No","Very much","Very much","Quite a bit","Very much","Very much","Very much"
2015,"Asian","No","Quite a bit","Some","Some","Quite a bit","Quite a bit","Quite a bit"
2015,"International","Yes","Very much","Very much","Quite a bit","Very much","Very much","Quite a bit"
2015,"Asian","Yes","Very much","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Very much","Very much","Very much","Quite a bit","Very much","Very much"
2015,"White","Yes","Very much","Very much","Quite a bit","Quite a bit","Some","Quite a bit"
2015,"URM","Yes","Very much","Quite a bit","Very much","Quite a bit","Very much","Quite a bit"
2015,"International","Yes","Quite a bit","Very much","Some","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","Yes","Very much","Very much","Quite a bit","Very much","Very much","Quite a bit"
2015,"URM","No","Quite a bit","Quite a bit","Very little or none","Quite a bit","Very much","Some"
2015,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Very much","Quite a bit","Some","Very much","Quite a bit","Quite a bit"
2015,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","Yes","Very much","Very much","Very much","Quite a bit","Very much","Quite a bit"
2015,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Very much","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Very much","Some","Quite a bit","Quite a bit","Very much","Quite a bit"
2015,"International","Yes","Very much","Very much","Some","Quite a bit","Quite a bit","Some"
2015,"Asian","No","Quite a bit","Very much","Very much","Quite a bit","Some","Some"
2015,"Asian","Yes","Quite a bit","Very much","Quite a bit","Very much","Quite a bit","Very much"
2015,"International","Yes","Very much","Some","Quite a bit","Some","Very much","Quite a bit"
2015,"Asian","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much","Some"
2015,"White","No","Very much","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","No","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit"
2015,"White","Yes","Some","Very much","Some","Some","Some","Some"
2015,"URM","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much"
2015,"International","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit"
2015,"URM","No","Some","Some","Quite a bit","Quite a bit","Some","Some"
2015,"URM","Yes","Very much","Quite a bit","Quite a bit","Quite a bit","Very much","Quite a bit"
2015,"URM","Yes","Quite a bit","Very much","Very much","Quite a bit","Very little or none","Very little or none"
2015,"White","Yes","Very much","Quite a bit","Very much","Very much","Very much","Quite a bit"
2015,"White","No","Very much","Very much","Quite a bit","Quite a bit","Some","Quite a bit"
2015,"International","No","Very much","Very much","Very much","Some","Very much","Very much"
2015,"URM","No","Quite a bit","Very much","Quite a bit","Some","Quite a bit","Some"
2015,"White","No","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit"
2015,"URM","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Very much","Quite a bit","Very much","Quite a bit","Quite a bit","Very much"
2015,"URM","Yes","Quite a bit","Some","Some","Some","Some","Quite a bit"
2015,"Asian","Yes","Quite a bit","Very little or none","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","No","Very much","Quite a bit","Quite a bit","Very much","Very much","Very much"
2015,"Asian","No","Very much","Very much","Very much","Very much","Quite a bit","Quite a bit"
2015,"International","Yes","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Very much","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","No","Very much","Some","Some","Quite a bit","Some","Some"
2015,"International","No","Very little or none","Very little or none","Quite a bit","Some","Some","Quite a bit"
2015,"URM","No","Quite a bit","Quite a bit","Some","Very little or none","Some","Some"
2015,"White","Yes","Some","Quite a bit","Some","Quite a bit","Some","Quite a bit"
2015,"White","No","Very much","Quite a bit","Very little or none","Very much","Very much","Some"
2015,"White","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Some","Quite a bit","Quite a bit","Some","Quite a bit","Some"
2015,"International","Yes","Very much","Very much","Some","Some","Quite a bit","Quite a bit"
2015,"Asian","Yes","Very much","Very much","Very much","Some","Quite a bit","Very much"
2015,"White","No","Some","Some","Some","Quite a bit","Some","Some"
2015,"White","No","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit","Very much"
2015,"International","Yes","Some","Some","Quite a bit","Quite a bit","Quite a bit","Some"
2015,"White","No","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2015,"White","No","Very much","Quite a bit","Quite a bit","Very much","Very much","Quite a bit"
2015,"International","No","Quite a bit","Quite a bit","Very much","Quite a bit","Very much","Quite a bit"
2015,"URM","Yes","Quite a bit","Very little or none","Some","Quite a bit","Very much","Quite a bit"
2015,"White","Yes","Very much","Quite a bit","Some","Quite a bit","Some","Quite a bit"
2015,"White","No","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Quite a bit","Some","Some","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","No","Quite a bit","Very little or none","Quite a bit","Some","Some","Some"
2015,"White","Yes","Quite a bit","Some","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","Yes","Very much","Very much","Quite a bit","Very much","Quite a bit","Very much"
2015,"URM","No",NA,"Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Very much","Very much","Quite a bit","Quite a bit","Some","Quite a bit"
2015,"White","No","Quite a bit","Quite a bit","Very much","Quite a bit","Very much","Very much"
2015,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"International","No","Very much","Very much","Quite a bit","Very much","Quite a bit","Quite a bit"
2015,"URM","Yes","Quite a bit","Very little or none","Very little or none","Very much","Quite a bit","Some"
2015,"URM","Yes","Very much","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"International","Yes","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit"
2015,"White","No","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","Yes","Very much","Very much","Quite a bit","Very much","Very much","Very much"
2015,"International","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Very much","Quite a bit"
2015,"Asian","Yes","Some","Some","Some","Some","Some","Some"
2015,"Asian","No","Very much","Quite a bit","Very much","Very much","Very much","Very much"
2015,"White","No","Some","Some","Quite a bit","Quite a bit","Very much","Quite a bit"
2015,"Asian","No","Quite a bit","Very little or none","Some","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","No","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","Yes","Quite a bit","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"URM","Yes","Quite a bit","Some","Some","Quite a bit","Some","Quite a bit"
2015,"URM","Yes","Quite a bit","Some","Quite a bit","Quite a bit","Very much","Quite a bit"
2015,"White","No","Very much","Quite a bit","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Quite a bit","Some","Some","Some","Some","Some"
2015,"Asian","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"International","No","Very much","Very much","Quite a bit","Quite a bit","Some","Quite a bit"
2015,"White","No","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","No","Quite a bit","Some","Quite a bit","Quite a bit","Some","Quite a bit"
2015,"International","No","Quite a bit","Quite a bit","Quite a bit","Very much","Very much","Some"
2015,"White","No","Quite a bit","Quite a bit","Very little or none","Some","Quite a bit","Quite a bit"
2015,"White","No","Very little or none","Quite a bit","Very little or none","Some","Very little or none","Very little or none"
2015,"URM","No","Quite a bit","Quite a bit","Some","Some","Some","Quite a bit"
2015,"International","Yes","Very much","Very little or none","Some","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","Yes","Quite a bit","Very much","Very much","Quite a bit","Quite a bit","Some"
2015,"Asian","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"International","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","No","Very much","Some","Very much","Very much","Very much","Very much"
2015,"White","Yes","Very much","Very much","Quite a bit","Very much","Very much","Very much"
2015,"Asian","Yes","Quite a bit","Some","Quite a bit","Quite a bit","Very little or none","Some"
2015,"Asian","No","Very much","Very much","Very much","Quite a bit","Very much","Very much"
2015,"Asian","No","Very much","Very much","Quite a bit","Quite a bit","Quite a bit","Some"
2015,"International","No","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit"
2015,"URM","Yes","Quite a bit","Very much","Very much","Quite a bit","Very much","Quite a bit"
2015,"URM","Yes","Quite a bit","Very much","Some","Some","Very much","Some"
2015,"URM","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"Asian","Yes","Very much","Quite a bit","Some","Very much","Quite a bit","Very much"
2015,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Some","Quite a bit","Quite a bit"
2015,"White","No","Very much","Very much","Very much","Quite a bit","Quite a bit","Some"
2015,"URM","No","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2015,"International","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"Asian","No","Very much","Quite a bit","Very much","Quite a bit","Very much","Quite a bit"
2015,"URM","Yes","Some","Some","Quite a bit","Quite a bit","Quite a bit","Very much"
2015,"URM","No","Very much","Quite a bit","Very much","Quite a bit","Very much","Very much"
2015,"White","No","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Quite a bit"
2015,"Asian","No","Quite a bit","Quite a bit","Quite a bit","Some","Some","Quite a bit"
2015,"White","Yes","Some","Very little or none","Some","Very little or none","Some","Some"
2015,"Asian","Yes","Very much","Very much","Very much","Very much","Quite a bit","Very much"
2015,"URM","No","Quite a bit","Very much","Quite a bit","Quite a bit","Very much","Very much"
2015,"URM","Yes","Some","Very much","Some","Some","Some","Quite a bit"
2015,"URM","Yes","Very much","Very much",NA,"Very much","Some","Quite a bit"
2015,"URM","No","Some","Some","Quite a bit","Quite a bit","Some","Some"
2015,"White","Yes","Very much","Some","Very much","Very much","Very much","Very much"
2015,"White","No","Some","Some","Very little or none","Some","Quite a bit","Some"
2015,"White","Yes","Quite a bit","Very much","Some","Some","Very little or none","Quite a bit"
2015,"Asian","No","Very much","Quite a bit","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Quite a bit","Quite a bit","Quite a bit","Some","Some","Quite a bit"
2015,"International","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"Asian","No","Very much","Quite a bit","Quite a bit","Some","Very much","Very much"
2015,"URM","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"International","Yes","Very much","Very much","Quite a bit","Very much","Very much","Quite a bit"
2015,"White","Yes","Very much","Very much","Very much","Quite a bit","Very much","Very much"
2015,"Asian","Yes","Very much","Very much","Very much","Very much","Some",NA
2015,"Asian","No","Quite a bit","Some","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","Yes","Some","Some","Some","Some","Quite a bit","Some"
2015,"URM","No","Very much","Very much","Very much","Quite a bit","Very much","Very much"
2015,"White","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","No","Very much","Quite a bit","Quite a bit","Very much","Very much","Quite a bit"
2015,"White","Yes","Very much","Very little or none","Quite a bit","Quite a bit","Quite a bit","Quite a bit"
2015,"White","No","Very much","Quite a bit","Quite a bit","Very much","Quite a bit","Some"
2015,"URM","Yes","Very much","Very much","Very much","Quite a bit","Quite a bit","Quite a bit"
2015,"Asian","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"International","No","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"White","Yes","Very much","Very much","Quite a bit","Very much","Very much","Very much"
2015,"Asian","Yes","Very much","Very much","Very much","Very much","Very much","Very much"
2015,"URM","Yes","Very much","Quite a bit","Very much","Very much","Quite a bit","Some"
2015,"Asian","No","Some","Very little or none","Quite a bit","Quite a bit","Some","Very little or none"
2015,"URM","No","Very much","Very much","Some","Very much","Quite a bit","Very much"
2015,"White","No","Very much","Quite a bit","Very much","Very much","Very much","Quite a bit"
2015,"White","No","Very much","Quite a bit","Some","Very much","Very much","Very much"
2015,"Asian","No","Quite a bit","Some","Quite a bit","Some","Quite a bit","Quite a bit"
